week,total_records,risk_records,avg_sentiment,avg_negative_sentiment,avg_risk_keyword_count,risk_sentiment_score,company_Anthropic,company_Google,company_Meta,company_Microsoft,company_Multiple,company_OpenAI,company_xAI,risk_rate,lag_1_risk_sentiment_score,lag_2_risk_sentiment_score,lag_3_risk_sentiment_score,lag_1_risk_rate,lag_1_avg_sentiment,lag_1_avg_negative_sentiment,rolling_3_risk_sentiment_score,rolling_4_risk_sentiment_score,rolling_3_avg_sentiment,rolling_3_risk_rate,target_next_week_risk_score
2025-04-07,1,1,0.5378,0.23110000000000003,1.0,0.7277750000000001,0,0,0,0,0,1,0,1.0,0.8903625000000001,0.7207270833333334,0.7071875000000001,1.0,-0.5762333333333333,0.7881166666666667,0.7796215277777777,0.7615130208333334,0.21191666666666667,1.0,0.7094750000000001
2025-05-12,1,1,0.8442,0.07790000000000002,2.0,0.7094750000000001,0,0,0,0,1,0,0,1.0,0.7277750000000001,0.8903625000000001,0.7207270833333334,1.0,0.5378,0.23110000000000003,0.7758708333333334,0.7620848958333334,0.26858888888888893,1.0,0.18458750000000002
2025-05-19,1,0,-0.4767,0.7383500000000001,0.0,0.18458750000000002,0,0,0,0,0,1,0,0.0,0.7094750000000001,0.7277750000000001,0.8903625000000001,1.0,0.8442,0.07790000000000002,0.5406125,0.62805,0.3017666666666667,0.6666666666666666,0.7712083333333334
2025-06-09,6,6,0.19033333333333333,0.4048333333333333,1.0,0.7712083333333334,0,6,0,0,0,0,0,1.0,0.18458750000000002,0.7094750000000001,0.7277750000000001,0.0,-0.4767,0.7383500000000001,0.5550902777777779,0.5982614583333333,0.18594444444444447,0.6666666666666666,0.35573125
2025-06-16,6,2,-0.059183333333333345,0.5295916666666667,0.3333333333333333,0.35573125,0,0,0,0,0,6,0,0.3333333333333333,0.7712083333333334,0.18458750000000002,0.7094750000000001,1.0,0.19033333333333333,0.4048333333333333,0.4371756944444445,0.5052505208333334,-0.1151833333333333,0.4444444444444444,0.5103666666666667
2025-06-23,12,7,0.07039999999999999,0.46480000000000005,0.75,0.5103666666666667,6,0,0,0,0,0,6,0.5833333333333334,0.35573125,0.7712083333333334,0.18458750000000002,0.3333333333333333,-0.059183333333333345,0.5295916666666667,0.54576875,0.4554734375,0.06718333333333336,0.638888888888889,0.3615916666666667
2025-06-30,3,1,-0.10606666666666666,0.5530333333333334,0.3333333333333333,0.3615916666666667,0,0,0,0,0,3,0,0.3333333333333333,0.5103666666666667,0.35573125,0.7712083333333334,0.5833333333333334,0.07039999999999999,0.46480000000000005,0.40922986111111115,0.49972447916666674,-0.03161666666666663,0.4166666666666667,0.742145
2025-07-07,5,5,0.48683999999999994,0.25658000000000003,1.4,0.742145,0,0,0,0,0,0,5,1.0,0.3615916666666667,0.5103666666666667,0.35573125,0.3333333333333333,-0.10606666666666666,0.5530333333333334,0.5380344444444445,0.4924586458333334,0.15039111111111111,0.638888888888889,0.7934687500000001
2025-07-14,6,6,0.038916666666666655,0.4805416666666667,1.1666666666666667,0.7934687500000001,0,0,0,0,6,0,0,1.0,0.742145,0.3615916666666667,0.5103666666666667,1.0,0.48683999999999994,0.25658000000000003,0.6324018055555557,0.6018930208333334,0.1398966666666667,0.7777777777777777,0.7514604166666667
2025-07-21,6,6,0.4549833333333333,0.27250833333333335,1.6666666666666667,0.7514604166666667,5,0,0,0,1,0,0,1.0,0.7934687500000001,0.742145,0.3615916666666667,1.0,0.038916666666666655,0.4805416666666667,0.7623580555555556,0.6621664583333334,0.32691333333333333,1.0,0.24121875
2025-07-28,6,1,-0.036416666666666674,0.5182083333333333,0.16666666666666666,0.24121875,6,0,0,0,0,0,0,0.16666666666666666,0.7514604166666667,0.7934687500000001,0.742145,1.0,0.4549833333333333,0.27250833333333335,0.5953826388888889,0.6320732291666668,0.15249444444444446,0.7222222222222222,0.1376125
2025-08-04,6,0,-0.10089999999999999,0.55045,0.0,0.1376125,0,0,0,0,0,6,0,0.0,0.24121875,0.7514604166666667,0.7934687500000001,0.16666666666666666,-0.036416666666666674,0.5182083333333333,0.3767638888888889,0.4809401041666667,0.10588888888888892,0.3888888888888889,0.5548291666666667
2025-08-11,3,2,0.1347,0.43265000000000003,0.6666666666666666,0.5548291666666667,0,0,1,0,0,2,0,0.6666666666666666,0.1376125,0.24121875,0.7514604166666667,0.0,-0.10089999999999999,0.55045,0.3112201388888889,0.4212802083333334,-0.0008722222222221909,0.27777777777777773,0.12155
2025-09-01,1,0,0.0276,0.4862,0.0,0.12155,0,0,0,0,0,1,0,0.0,0.5548291666666667,0.1376125,0.24121875,0.6666666666666666,0.1347,0.43265000000000003,0.2713305555555556,0.2638026041666667,0.0204666666666667,0.2222222222222222,0.0236875
2025-09-08,1,0,0.8105,0.09475,0.0,0.0236875,0,0,1,0,0,0,0,0.0,0.12155,0.5548291666666667,0.1376125,0.0,0.0276,0.4862,0.23335555555555557,0.2094197916666667,0.3242666666666667,0.2222222222222222,0.9342125000000001
2025-09-15,1,1,-0.9537,0.97685,2.0,0.9342125000000001,0,0,0,0,0,1,0,1.0,0.0236875,0.12155,0.5548291666666667,0.0,0.8105,0.09475,0.3598166666666667,0.40856979166666674,-0.03853333333333331,0.3333333333333333,0.7615250000000001
2025-09-22,3,3,0.42779999999999996,0.2861,2.0,0.7615250000000001,0,3,0,0,0,0,0,1.0,0.9342125000000001,0.0236875,0.12155,1.0,-0.9537,0.97685,0.5731416666666668,0.46024375000000006,0.0948666666666667,0.6666666666666666,0.46358125000000006
2025-09-29,2,1,0.05135,0.474325,1.0,0.46358125000000006,0,0,0,0,0,2,0,0.5,0.7615250000000001,0.9342125000000001,0.0236875,1.0,0.42779999999999996,0.2861,0.7197729166666669,0.5457515625000001,-0.15818333333333331,0.8333333333333334,0.5568675000000001
2025-10-06,5,3,-0.01494000000000002,0.50747,2.0,0.5568675000000001,0,0,0,0,0,5,0,0.6,0.46358125000000006,0.7615250000000001,0.9342125000000001,0.5,0.05135,0.474325,0.5939912500000001,0.6790465625000002,0.1547366666666667,0.7000000000000001,0.4731569444444445
2025-10-13,9,5,0.2991888888888889,0.3504055555555556,1.3333333333333333,0.4731569444444445,6,0,0,1,0,2,0,0.5555555555555556,0.5568675000000001,0.46358125000000006,0.7615250000000001,0.6,-0.01494000000000002,0.50747,0.4978685648148149,0.5637826736111112,0.11186629629629634,0.5518518518518518,0.834775
2025-10-20,1,1,-0.3182,0.6591,1.0,0.834775,0,0,0,0,0,1,0,1.0,0.4731569444444445,0.5568675000000001,0.46358125000000006,0.5555555555555556,0.2991888888888889,0.3504055555555556,0.6215998148148149,0.5820951736111112,-0.011317037037036995,0.7185185185185184,0.22062500000000002
2025-11-03,1,0,-0.765,0.8825000000000001,0.0,0.22062500000000002,0,0,0,0,0,1,0,0.0,0.834775,0.4731569444444445,0.5568675000000001,1.0,-0.3182,0.6591,0.5095189814814816,0.5213561111111111,-0.261337037037037,0.5185185185185185,0.7765833333333334
2025-11-10,3,3,0.4673333333333334,0.2663333333333333,4.0,0.7765833333333334,0,0,0,0,2,1,0,1.0,0.22062500000000002,0.834775,0.4731569444444445,0.0,-0.765,0.8825000000000001,0.6106611111111112,0.5762850694444446,-0.20528888888888885,0.6666666666666666,0.5926375
